,song_duration_ms,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,audio_mode,speechiness,tempo,time_signature,audio_valence,popularity
4316,183906,0.1939999999999999,0.7290000000000001,0.625,0.0098599999999999,4,0.248,-5.266,1,0.0315,146.034,4,0.261,1
3493,238053,0.241,0.755,0.594,0.0,7,0.107,-5.906000000000001,1,0.216,178.929,4,0.237,1
11661,181000,0.492,0.621,0.8420000000000001,0.0,5,0.27,-4.886,1,0.158,119.761,4,0.55,0
12039,186055,0.2,0.53,0.519,0.0,4,0.1119999999999999,-5.997999999999999,0,0.2239999999999999,144.993,4,0.462,0
538,270426,0.0296,0.6,0.931,7.099999999999999e-05,7,0.392,-4.647,1,0.0734,140.123,4,0.542,1
6265,213348,0.521,0.878,0.4429999999999999,0.0,1,0.12,-6.882999999999999,1,0.353,130.125,4,0.0756,0
12312,225468,8.32e-05,0.419,0.968,3.17e-06,11,0.318,-5.15,0,0.074,158.019,4,0.721,0
10783,318166,0.00917,0.789,0.685,0.836,8,0.0787,-9.779,1,0.0517,115.01,4,0.48,0
6895,164160,0.4039999999999999,0.59,0.737,0.0,7,0.108,-5.867000000000001,1,0.0384,132.966,4,0.877,0
8552,169560,0.409,0.675,0.8490000000000001,1.31e-05,0,0.0916,-9.68,1,0.0386,104.765,4,0.965,0
7514,151053,0.0146,0.918,0.419,4.67e-06,7,0.195,-9.129,0,0.104,96.036,4,0.7559999999999999,1
4221,200875,0.696,0.248,0.318,0.0,4,0.158,-8.971,0,0.0358,177.253,3,0.154,0
1875,272533,0.1009999999999999,0.835,0.687,0.0,5,0.132,-3.18,1,0.184,94.059,4,0.828,0
11529,190278,0.1939999999999999,0.401,0.461,0.0,5,0.124,-5.652,0,0.208,166.954,4,0.33,0
1847,230013,0.317,0.588,0.6409999999999999,0.0,6,0.124,-6.973,1,0.146,120.056,4,0.414,0
4935,202840,0.884,0.476,0.182,0.00086,4,0.1119999999999999,-16.375,1,0.038,88.59200000000001,4,0.146,0
11704,224914,0.23,0.662,0.677,0.0,1,0.369,-6.371,0,0.0406,99.017,4,0.347,1
221,162213,0.337,0.816,0.416,0.7909999999999999,5,0.0452,-17.795,0,0.244,90.148,4,0.8170000000000001,0
10171,196320,0.299,0.815,0.784,0.0,9,0.0958,-4.423,1,0.0738,162.958,4,0.8320000000000001,1
15433,226587,0.0796,0.797,0.608,0.0,4,0.0881,-14.27,0,0.0717,99.998,4,0.632,0
4893,292120,0.27,0.46,0.747,0.875,0,0.126,-7.544,1,0.0289,161.495,4,0.535,0
6994,176561,0.00339,0.713,0.79,0.000868,7,0.485,-4.602,0,0.0574,98.011,4,0.308,0
3146,145986,0.0507,0.897,0.293,3.91e-05,1,0.1,-8.771,1,0.171,145.029,4,0.204,0
17223,243026,0.0484,0.925,0.748,0.0,11,0.1009999999999999,-5.572,0,0.278,92.978,4,0.615,0
5067,145640,0.391,0.546,0.469,0.0,5,0.091,-8.967,1,0.0289,142.71200000000002,4,0.779,0
10389,239400,0.135,0.82,0.937,0.000128,5,0.35,-4.81,0,0.0551,130.993,4,0.906,1
4168,161142,0.995,0.562,0.00212,0.969,7,0.175,-30.579,1,0.0787,64.406,4,0.368,0
17632,199226,0.0558,0.575,0.5710000000000001,0.0,1,0.0912,-7.906000000000001,1,0.0439,105.049,4,0.449,1
15685,205065,0.138,0.64,0.659,0.0,7,0.119,-5.265,1,0.0663,79.982,4,0.944,0
5900,176103,0.306,0.6759999999999999,0.586,0.0,7,0.0937,-6.271,1,0.063,76.991,4,0.45,0
13692,207029,0.579,0.503,0.741,1.49e-06,4,0.0712,-5.127999999999999,1,0.047,88.335,3,0.4579999999999999,1
15002,393960,0.593,0.509,0.5820000000000001,0.000811,10,0.0996,-7.172000000000001,1,0.0333,92.044,4,0.552,0
16830,191331,1.15e-05,0.13,0.991,0.00412,11,0.225,-3.1260000000000003,1,0.0604,185.364,4,0.505,0
10706,50508,0.87,0.721,0.175,0.902,7,0.107,-12.387,1,0.0717,80.965,4,0.632,0
4426,92000,0.964,0.804,0.225,0.929,6,0.103,-15.623,0,0.0798,85.125,4,0.594,0
15481,156195,0.129,0.853,0.637,0.0,3,0.267,-5.924,0,0.331,86.04799999999999,4,0.496,1
2383,260120,0.0449,0.77,0.471,3.95e-06,7,0.0669,-9.578,1,0.156,82.515,4,0.474,0
4679,174800,0.0393,0.659,0.7170000000000001,0.0,8,0.0769,-4.202,1,0.0581,103.036,4,0.71,0
5232,152733,0.95,0.342,0.135,0.000117,8,0.335,-13.416,1,0.0313,83.0,4,0.387,0
15677,183506,0.303,0.685,0.912,0.000285,1,0.0831,-5.698,1,0.039,145.99,4,0.974,0
16914,210786,0.923,0.425,0.244,0.0472,2,0.0967,-12.965,0,0.0321,134.934,4,0.0674,0
6422,248880,0.096,0.643,0.945,7.71e-06,0,0.495,-4.66,1,0.0779,120.723,4,0.526,0
17848,204453,0.146,0.7090000000000001,0.7709999999999999,3.29e-06,7,0.249,-4.598,1,0.166,174.00599999999997,4,0.7090000000000001,1
16484,209269,0.129,0.586,0.716,0.0,5,0.16,-5.725,0,0.0438,74.997,4,0.18,0
2099,167773,0.395,0.539,0.364,0.0,6,0.131,-13.56,0,0.0341,123.056,4,0.59,0
3538,209449,0.293,0.884,0.3329999999999999,0.0205,9,0.103,-9.753,0,0.0617,118.065,4,0.5870000000000001,0
6426,210746,0.391,0.6559999999999999,0.677,1.92e-06,2,0.118,-6.928999999999999,1,0.0285,112.01,4,0.57,0
11701,199226,0.0558,0.575,0.5710000000000001,0.0,1,0.0912,-7.906000000000001,1,0.0439,105.049,4,0.449,1
15363,294440,0.371,0.625,0.885,3.71e-05,0,0.107,-3.807,1,0.0667,115.255,4,0.8190000000000001,0
7559,225373,0.15,0.762,0.6609999999999999,0.0,1,0.256,-6.075,0,0.0687,130.009,4,0.769,1
6379,226240,0.0135,0.898,0.271,0.00138,7,0.0461,-12.238,1,0.091,111.485,4,0.742,0
524,316706,0.048,0.555,0.973,0.0,9,0.0853,-3.804,1,0.035,118.642,4,0.805,1
14238,228041,0.0316,0.743,0.6509999999999999,1.83e-05,8,0.0942,-4.452,0,0.176,137.184,5,0.511,1
1872,198800,0.0249,0.774,0.838,0.025,5,0.242,-3.914,0,0.114,143.04,4,0.924,1
6548,164764,0.187,0.857,0.772,0.00181,10,0.0851,-4.736000000000001,0,0.1939999999999999,94.028,4,0.589,1
16116,232720,0.2189999999999999,0.647,0.8220000000000001,0.0,5,0.0908,-4.662,0,0.183,160.019,4,0.962,1
10494,231522,0.465,0.6559999999999999,0.721,4.56e-06,4,0.314,-7.505,1,0.077,104.013,4,0.835,0
3168,183960,0.157,0.767,0.611,0.0116,5,0.0836,-5.172999999999999,0,0.0983,94.034,4,0.11,1
2398,208400,0.0799,0.6409999999999999,0.914,6.54e-05,2,0.132,-4.798,1,0.05,107.996,4,0.723,0
3434,199560,0.237,0.685,0.799,2.78e-06,2,0.107,-5.852,0,0.0352,129.999,4,0.4,0
15294,275253,0.439,0.82,0.7170000000000001,0.00107,8,0.236,-6.191,1,0.0722,104.005,4,0.843,0
6997,210000,0.0853,0.52,0.898,0.0,6,0.163,-1.527,0,0.201,159.855,4,0.13,0
3918,179986,0.539,0.5820000000000001,0.367,9.98e-06,2,0.356,-12.249,0,0.0281,103.363,4,0.636,0
16819,204346,0.0512,0.772,0.78,0.0,10,0.119,-4.288,0,0.108,124.988,4,0.7190000000000001,0
689,228066,0.0657,0.574,0.93,7.78e-06,1,0.108,-2.949,1,0.0413,92.303,4,0.69,0
12995,227560,0.233,0.7829999999999999,0.812,0.0,8,0.0584,-5.93,0,0.0681,143.028,4,0.831,0
2384,249520,0.0528,0.6509999999999999,0.747,0.0,1,0.207,-7.269,0,0.0699,147.518,4,0.7759999999999999,1
18600,226440,0.136,0.498,0.721,0.7,10,0.0933,-5.232,1,0.0282,140.02700000000002,4,0.589,0
17673,215613,0.775,0.306,0.243,0.0,6,0.11,-7.696000000000001,1,0.0279,92.332,4,0.105,1
7142,174860,0.49,0.755,0.625,0.0,2,0.157,-7.114,1,0.0896,147.02,4,0.374,1
18728,179915,0.000725,0.767,0.675,0.00349,7,0.371,-7.881,1,0.0365,110.055,4,0.905,0
6240,152000,0.13,0.733,0.63,0.0,11,0.162,-4.296,1,0.395,149.989,4,0.8320000000000001,1
16673,411973,0.0322,0.593,0.931,0.588,11,0.0255,-5.232,0,0.0517,142.747,4,0.755,0
14850,234773,0.0004799999999999,0.8270000000000001,0.682,0.0187,6,0.1009999999999999,-7.111000000000001,0,0.0435,117.967,4,0.933,0
10432,143280,0.0516,0.539,0.927,0.0,5,0.225,-6.465,1,0.126,88.49700000000001,4,0.524,0
